time_stamp, measured
1701003600.0,90.236
1701003615.0,124.237
1701003630.0,109.037
1701003645.0,103.285
1701003660.0,105.652
1701003675.0,69.251
1701003690.0,113.854
1701003705.0,113.304
1701003720.0,108.504
1701003735.0,110.82
1701003750.0,112.304
1701003765.0,115.104
1701003780.0,114.452
1701003795.0,113.069
1701003810.0,114.67
1701003825.0,110.985
1701003840.0,111.054
1701003855.0,198.37
1701003870.0,262.688
1701003885.0,251.946
1701003900.0,258.654
1701003915.0,262.854
1701003930.0,255.071
1701003945.0,259.204
1701003960.0,256.842
1701003975.0,257.562
1701003990.0,253.6
1701004005.0,237.969
1701004020.0,255.229
1701004035.0,260.917
1701004050.0,261.817
1701004065.0,262.829
1701004080.0,263.168
1701004095.0,266.671
1701004110.0,268.362
1701004125.0,264.483
1701004140.0,262.408
1701004155.0,271.408
1701004170.0,267.562
1701004185.0,260.862
1701004200.0,259.325
1701004215.0,263.246
1701004230.0,257.823
1701004245.0,265.953
1701004260.0,242.409
1701004275.0,210.702
1701004290.0,263.482
1701004305.0,259.238
1701004320.0,262.566
1701004335.0,241.321
1701004350.0,252.196
1701004365.0,196.887
1701004380.0,124.8
1701004395.0,237.334
1701004410.0,255.408
1701004425.0,261.066
1701004440.0,260.662
1701004455.0,260.191
1701004470.0,259.275
1701004485.0,259.808
1701004500.0,261.287
1701004515.0,267.662
1701004530.0,257.145
1701004545.0,258.746
1701004560.0,258.27
1701004575.0,266.079
1701004590.0,258.027
1701004605.0,258.658
1701004620.0,256.729
1701004635.0,258.308
1701004650.0,259.928
1701004665.0,262.588
1701004680.0,263.537
1701004695.0,257.883
1701004710.0,260.341
1701004725.0,258.941
1701004740.0,261.72
1701004755.0,261.92
1701004770.0,259.75
1701004785.0,271.238
1701004800.0,252.316
1701004815.0,252.258
1701004830.0,254.408
1701004845.0,264.512
1701004860.0,257.241
1701004875.0,262.325
1701004890.0,276.491
1701004905.0,268.499
1701004920.0,265.062
1701004935.0,269.479
1701004950.0,258.346
1701004965.0,258.508
1701004980.0,259.725
1701004995.0,262.825
1701005010.0,252.793
1701005025.0,252.908
1701005040.0,257.612
1701005055.0,263.125
1701005070.0,258.198
1701005085.0,256.526
1701005100.0,248.083
1701005115.0,252.025
1701005130.0,236.309
1701005145.0,408.05
1701005160.0,428.002
1701005175.0,419.326
1701005190.0,395.227
1701005205.0,420.954
1701005220.0,465.584
1701005235.0,422.651
1701005250.0,401.227
1701005265.0,466.028
1701005280.0,90.236
1701005295.0,124.237
1701005310.0,109.037
1701005325.0,103.285
1701005340.0,105.652
1701005355.0,69.251
1701005370.0,113.854
1701005385.0,113.304
1701005400.0,108.504
1701005415.0,110.82
1701005430.0,112.304
1701005445.0,115.104
1701005460.0,114.452
1701005475.0,113.069
1701005490.0,114.67
1701005505.0,110.985
1701005520.0,111.054
1701005535.0,198.37
1701005550.0,262.688
1701005565.0,251.946
1701005580.0,258.654
1701005595.0,262.854
1701005610.0,255.071
1701005625.0,259.204
1701005640.0,256.842
1701005655.0,257.562
1701005670.0,253.6
1701005685.0,237.969
1701005700.0,255.229
1701005715.0,260.917
1701005730.0,261.817
1701005745.0,262.829
1701005760.0,263.168
1701005775.0,266.671
1701005790.0,268.362
1701005805.0,264.483
1701005820.0,270.0
1701005835.0,275.5
1701005850.0,280.0
1701005865.0,285.0
1701005880.0,290.0
1701005895.0,295.0
1701005910.0,290.0
1701005925.0,285.0
1701005940.0,280.0
1701005955.0,275.0
1701005970.0,270.0
1701005985.0,265.0
1701006000.0,260.0
1701006015.0,255.0
1701006030.0,250.0
1701006045.0,245.0
1701006060.0,240.0
1701006075.0,235.0
1701006090.0,230.0
1701006105.0,225.0
1701006120.0,220.0
1701006135.0,215.0
1701006150.0,210.0
1701006165.0,237.334
1701006180.0,255.408
1701006195.0,261.066
1701006210.0,260.662
1701006225.0,260.191
1701006240.0,259.275
1701006255.0,259.808
1701006270.0,261.287
1701006285.0,267.662
1701006300.0,257.145
1701006315.0,258.746
1701006330.0,258.27
1701006345.0,266.079
1701006360.0,258.027
1701006375.0,258.658
1701006390.0,256.729
1701006405.0,258.308
1701006420.0,259.928
1701006435.0,262.588
1701006450.0,263.537
1701006465.0,257.883
1701006480.0,260.341
1701006495.0,258.941
1701006510.0,261.72
1701006525.0,261.92
1701006540.0,259.75
1701006555.0,271.238
1701006570.0,252.316
1701006585.0,252.258
1701006600.0,254.408
1701006615.0,264.512
1701006630.0,257.241
1701006645.0,262.325
1701006660.0,276.491
1701006675.0,268.499
1701006690.0,265.062
1701006705.0,269.479
1701006720.0,258.346
1701006735.0,258.508
1701006750.0,259.725
1701006765.0,262.825
1701006780.0,252.793
1701006795.0,252.908
1701006810.0,257.612
1701006825.0,263.125
1701006840.0,258.198
1701006855.0,256.526
1701006870.0,248.083
1701006885.0,252.025
1701006900.0,236.309
1701006915.0,408.05
1701006930.0,428.002
1701006945.0,419.326
1701006960.0,395.227
1701006975.0,420.954
1701006990.0,465.584
1701007005.0,237.334
1701007020.0,255.408
1701007035.0,261.066
1701007050.0,260.662
1701007065.0,260.191
1701007080.0,259.275
1701007095.0,259.808
1701007110.0,261.287
1701007125.0,267.662
1701007140.0,257.145
1701007155.0,258.746
