measured,prediction,time_stamp,lstm_replica_count,hpa_replica_count
57.616,238.80847,1701264995.985,3.0,2
57.616,231.69345,1701265031.013,3.0,2
198.4,232.28893,1701265066.056,3.0,2
252.4,235.11665,1701265101.087,3.0,2
252.4,237.04039,1701265136.135,3.0,2
243.244,240.90746,1701265171.948,3.0,3
243.244,240.11078,1701265207.014,3.0,3
215.22,239.24602,1701265242.075,3.0,3
240.217,239.75226,1701265277.102,3.0,3
240.217,240.24805,1701265312.114,3.0,3
233.438,329.2319,1701265348.049,4.0,3
233.438,311.14603,1701265383.088,4.0,3
241.829,300.49454,1701265418.126,4.0,3
241.829,296.94296,1701265453.172,4.0,3
352.667,298.65347,1701265488.205,4.0,3
337.628,349.96042,1701265523.628,4.0,4
337.628,343.3025,1701265558.673,4.0,4
348.565,338.92447,1701265593.751,4.0,4
348.565,335.81775,1701265628.8,4.0,4
356.975,333.24747,1701265663.846,4.0,4
315.995,313.22714,1701265699.455,4.0,4
315.995,313.04526,1701265734.512,4.0,4
358.467,314.56595,1701265769.627,4.0,4
358.467,313.47192,1701265804.699,4.0,4
319.951,309.74146,1701265839.955,4.0,4
336.95,314.17142,1701265875.82,4.0,4
336.95,310.64447,1701265910.911,4.0,4
306.549,306.20206,1701265946.032,4.0,4
306.549,302.9567,1701265981.094,4.0,4
315.218,300.69617,1701266016.223,4.0,4
315.218,292.15707,1701266052.034,3.0,4
210.456,290.98874,1701266087.092,3.0,4
367.768,296.72168,1701266122.288,3.0,4
367.768,297.92285,1701266157.37,3.0,4
301.538,294.3068,1701266192.478,3.0,4
301.538,324.49332,1701266228.246,4.0,4
439.497,334.31873,1701266263.384,4.0,4
397.001,338.5679,1701266298.677,4.0,4
397.001,336.79865,1701266333.864,4.0,4
329.632,330.67548,1701266368.984,4.0,4
329.632,341.56772,1701266404.869,4.0,4
399.36,343.14316,1701266440.07,4.0,4
373.183,342.36496,1701266475.151,4.0,4
373.183,339.58023,1701266510.244,4.0,4
346.304,335.19562,1701266545.339,4.0,4
346.304,355.12506,1701266587.904,4.0,4
206.796,340.24854,1701266623.547,4.0,4
360.316,337.44778,1701266658.643,4.0,4
360.316,336.5768,1701266693.75,4.0,4
370.884,335.17288,1701266728.93,4.0,4
370.884,385.94852,1701266765.049,4.0,4
377.665,380.50925,1701266800.143,4.0,4
401.396,377.96057,1701266835.229,4.0,4
401.396,375.43393,1701266870.437,4.0,4
394.904,372.0626,1701266905.53,4.0,4
394.904,388.08432,1701266941.198,4.0,4
399.693,383.29425,1701266976.306,4.0,4
399.693,377.55316,1701267011.358,4.0,4
366.917,371.94046,1701267046.491,4.0,4
388.484,368.61206,1701267081.738,4.0,4
388.484,386.84177,1701267117.367,4.0,4
358.11,377.14062,1701267152.42,4.0,4
358.11,372.78354,1701267187.602,4.0,4
414.455,372.241,1701267222.646,4.0,4
399.973,369.98514,1701267257.696,4.0,4
399.973,361.04095,1701267293.16,4.0,4
396.047,361.53067,1701267328.235,4.0,4
396.047,361.0174,1701267363.413,4.0,4
394.424,358.2351,1701267398.511,4.0,4
364.641,353.51126,1701267433.69,4.0,4
364.641,447.39044,1701267469.243,5.0,5
394.933,433.5763,1701267504.305,5.0,5
394.933,427.72104,1701267539.439,5.0,5
468.459,429.2939,1701267574.529,5.0,5
468.459,429.4385,1701267609.643,5.0,5
375.836,311.7973,1701267645.555,4.0,4
333.633,310.49188,1701267680.725,4.0,4
333.633,307.7156,1701267715.821,4.0,4
309.508,304.08426,1701267751.221,4.0,4
309.508,301.1376,1701267786.439,4.0,4
110.985,239.23294,1701267821.0,3.0,2.0
111.054,232.55185,1701267856.0,3.0,2.0
198.37,233.43556,1701267891.0,3.0,2.0
262.688,236.42902,1701267926.0,3.0,2.0
251.946,238.11913,1701267961.0,3.0,2.0
465.584,406.62994,1701267996.0,5.0,3.0
422.651,402.76697,1701268031.0,5.0,5.0
401.227,119.963356,1701268066.0,2.0,3.0
466.028,131.36237,1701268101.0,2.0,3.0
90.236,135.95288,1701268136.0,2.0,3.0
